Number,level1,level2,level3,level4,level5
1,0.0 (%),27.8 (%),69.4 (%),2.8 (%),0.0 (%)
2,0.0 (%),40.9 (%),53.4 (%),5.7 (%),0.0 (%)
3,0.0 (%),41.0 (%),57.7 (%),1.2 (%),0.0 (%)
4,0.5 (%),56.9 (%),38.8 (%),3.8 (%),0.0 (%)
5,0.0 (%),43.7 (%),51.9 (%),4.3 (%),0.0 (%)
6,0.0 (%),67.5 (%),32.0 (%),0.5 (%),0.0 (%)
7,0.0 (%),57.1 (%),42.9 (%),0.0 (%),0.0 (%)
8,0.0 (%),73.5 (%),25.4 (%),1.1 (%),0.0 (%)
9,0.0 (%),47.5 (%),52.5 (%),0.0 (%),0.0 (%)
10,0.0 (%),61.3 (%),38.7 (%),0.0 (%),0.0 (%)
11,0.0 (%),73.5 (%),25.2 (%),1.4 (%),0.0 (%)
12,0.0 (%),80.7 (%),17.6 (%),1.7 (%),0.0 (%)
